trip_id,start_time,end_time,headway_secs,exact_times
1:AVL---:1117,17:56:00,19:56:00,600,1
1:AVL---:1885,24:35:00,27:35:00,5400,1
1:AVL---:1043,18:20:00,18:50:00,900,1
1:AVL---:1082,07:41:00,19:21:00,1200,1
1:AVL---:1879,24:19:00,27:19:00,1800,1
1:AVL---:2009,06:44:00,07:24:00,600,1
1:AVL---:2024,16:52:00,17:42:00,600,1
1:AVL---:1799,16:12:00,17:32:00,1200,1
1:AVL---:1822,06:50:00,18:50:00,7200,1
1:AVL---:2089,10:18:00,16:18:00,3600,1
1:AVL---:843,20:04:00,24:04:00,1800,1
1:AVL---:2040,08:06:00,19:36:00,1800,1
1:AVL---:765,06:56:00,19:36:00,1200,1
1:AVL---:1236,07:52:00,19:22:00,1800,1
1:AVL---:1986,20:38:00,22:38:00,3600,1
1:AVL---:1680,22:33:00,24:03:00,1800,1
1:AVL---:1584,19:58:00,21:28:00,1800,1
1:AVL---:1071,07:32:00,09:02:00,600,1
1:AVL---:941,12:00:00,19:30:00,1800,1
1:AVL---:2076,05:38:00,07:38:00,1800,1
1:AVL---:1590,20:12:00,22:12:00,1800,1
1:AVL---:1657,09:55:00,17:55:00,3600,1
1:AVL---:1081,11:19:00,19:19:00,1800,1
1:AVL---:1003,12:20:00,13:20:00,900,1
1:AVL---:1020,15:32:00,18:02:00,1800,1
1:AVL---:1775,07:51:00,19:21:00,1800,1
1:AVL---:1729,20:44:00,22:14:00,1800,1
1:AVL---:925,18:08:00,18:48:00,1200,1
1:AVL---:915,07:08:00,19:08:00,4800,1
1:AVL---:954,20:06:00,20:36:00,900,1
1:AVL---:1801,07:55:00,19:35:00,1200,1
1:AVL---:1999,11:30:00,19:30:00,1800,1
1:AVL---:1743,08:01:00,18:31:00,5400,1
1:AVL---:938,06:37:00,07:37:00,1800,1
1:AVL---:1574,11:23:00,19:23:00,1800,1
1:AVL---:1395,19:53:00,21:38:00,900,1
1:AVL---:1893,13:30:00,17:00:00,600,1
1:AVL---:1734,07:14:00,08:44:00,1800,1
1:AVL---:950,11:33:00,19:33:00,1800,1
1:AVL---:2008,07:30:00,19:30:00,600,1
1:AVL---:1645,06:59:00,19:44:00,900,1
1:AVL---:818,11:49:00,19:49:00,1800,1
1:AVL---:1021,18:17:00,19:02:00,900,1
1:AVL---:1599,20:35:00,21:35:00,1800,1
1:AVL---:1016,09:02:00,11:32:00,1800,1
1:AVL---:1413,07:53:00,11:53:00,1800,1
1:AVL---:2034,20:25:00,22:10:00,900,1
1:AVL---:922,14:08:00,14:48:00,1200,1
1:AVL---:1054,08:04:00,19:44:00,1200,1
1:AVL---:1396,11:29:00,19:29:00,1800,1
1:AVL---:1041,16:35:00,17:05:00,900,1
1:AVL---:1796,10:12:00,11:32:00,1200,1
1:AVL---:1466,11:07:00,19:07:00,1800,1
1:AVL---:1835,12:33:00,14:03:00,1800,1
1:AVL---:1473,06:42:00,19:42:00,1200,1
1:AVL---:895,05:32:00,06:12:00,1200,1
1:AVL---:1795,08:12:00,09:32:00,1200,1
1:AVL---:1665,06:56:00,19:36:00,1200,1
1:AVL---:1468,20:39:00,23:39:00,1800,1
1:AVL---:1702,15:12:00,16:42:00,1800,1
1:AVL---:959,20:04:00,21:34:00,1800,1
1:AVL---:1062,21:51:00,23:51:00,1800,1
